grid_id,flood_risk
G0000,0
G0001,0
G0002,1
G0003,0
G0004,0
G0005,0
G0006,0
G0007,0
G0008,0
G0009,1
G0010,1
G0011,1
G0012,0
G0013,0
G0014,0
G0015,1
G0016,1
G0017,1
G0018,1
G0019,0
G0020,1
G0021,1
G0022,0
G0023,1
G0024,1
G0025,1
G0026,1
G0027,1
G0028,1
G0029,1
G0030,1
G0031,1
G0032,1
G0033,1
G0034,0
G0035,1
G0036,1
G0037,1
G0038,1
G0039,1
G0040,0
G0041,0
G0042,0
G0043,1
G0044,1
G0045,1
G0046,0
G0047,0
G0048,1
G0049,0
G0050,0
G0051,0
G0052,1
G0053,0
G0054,1
G0055,1
G0056,0
G0057,0
G0058,0
G0059,1
G0060,1
G0061,1
G0062,0
G0063,0
G0064,0
G0065,0
G0066,0
G0067,1
G0068,1
G0069,0
G0070,0
G0071,0
G0072,0
G0073,0
G0074,1
G0075,1
G0076,0
