grid_id,grit_bin_count
G0000,0
G0001,0
G0002,2
G0003,1
G0004,1
G0005,1
G0006,4
G0007,1
G0008,3
G0009,5
G0010,4
G0011,3
G0012,1
G0013,3
G0014,15
G0015,0
G0016,60
G0017,22
G0018,3
G0019,29
G0020,17
G0021,22
G0022,40
G0023,71
G0024,66
G0025,47
G0026,34
G0027,0
G0028,18
G0029,58
G0030,76
G0031,101
G0032,65
G0033,16
G0034,13
G0035,37
G0036,61
G0037,45
G0038,88
G0039,23
G0040,40
G0041,23
G0042,21
G0043,104
G0044,44
G0045,68
G0046,42
G0047,18
G0048,26
G0049,6
G0050,43
G0051,49
G0052,29
G0053,42
G0054,25
G0055,5
G0056,2
G0057,51
G0058,22
G0059,6
G0060,30
G0061,22
G0062,0
G0063,0
G0064,43
G0065,28
G0066,17
G0067,12
G0068,2
G0069,0
G0070,11
G0071,31
G0072,32
G0073,4
G0074,3
G0075,0
G0076,0
