grid_id,tree_count
G0000,0
G0001,0
G0002,0
G0003,0
G0004,1
G0005,0
G0006,0
G0007,0
G0008,0
G0009,45
G0010,0
G0011,0
G0012,0
G0013,0
G0014,2
G0015,18
G0016,55
G0017,16
G0018,0
G0019,0
G0020,4
G0021,84
G0022,108
G0023,58
G0024,20
G0025,15
G0026,29
G0027,0
G0028,4
G0029,53
G0030,53
G0031,3
G0032,34
G0033,0
G0034,42
G0035,11
G0036,31
G0037,82
G0038,10
G0039,10
G0040,56
G0041,54
G0042,1
G0043,44
G0044,4
G0045,0
G0046,0
G0047,0
G0048,0
G0049,0
G0050,0
G0051,18
G0052,0
G0053,0
G0054,0
G0055,3
G0056,0
G0057,13
G0058,13
G0059,0
G0060,0
G0061,0
G0062,0
G0063,0
G0064,0
G0065,19
G0066,3
G0067,0
G0068,0
G0069,0
G0070,0
G0071,0
G0072,30
G0073,0
G0074,0
G0075,0
G0076,0
