admin_name,drain_density
Richmond Ward,28
Woodhouse Ward,30
Hillsborough Ward,47
Beauchief & Greenhill Ward,42
Manor Castle Ward,95
Stocksbridge & Upper Don Ward,252
Mosborough Ward,120
Darnall Ward,193
Beighton Ward,37
Dore & Totley Ward,51
Southey Ward,36
Graves Park Ward,55
Burngreave Ward,18
Stannington Ward,107
Birley Ward,4
West Ecclesfield Ward,250
East Ecclesfield Ward,216
Shiregreen & Brightside Ward,35
Nether Edge & Sharrow Ward,17
Broomhill & Sharrow Vale Ward,20
Crookes & Crosspool Ward,7
Firth Park Ward,7
Walkley Ward,16
Ecclesall Ward,17
Fulwood Ward,25
Park & Arbourthorne Ward,14
Gleadless Valley Ward,23
City Ward,63
