admin_name,library_count
Richmond Ward,0
Woodhouse Ward,1
Hillsborough Ward,1
Beauchief & Greenhill Ward,2
Manor Castle Ward,1
Stocksbridge & Upper Don Ward,1
Mosborough Ward,1
Darnall Ward,2
Beighton Ward,0
Dore & Totley Ward,1
Southey Ward,1
Graves Park Ward,1
Burngreave Ward,1
Stannington Ward,1
Birley Ward,2
West Ecclesfield Ward,0
East Ecclesfield Ward,2
Shiregreen & Brightside Ward,0
Nether Edge & Sharrow Ward,1
Broomhill & Sharrow Vale Ward,1
Crookes & Crosspool Ward,0
Firth Park Ward,2
Walkley Ward,2
Ecclesall Ward,1
Fulwood Ward,0
Park & Arbourthorne Ward,1
Gleadless Valley Ward,1
City Ward,3
