admin_name,waste_access
Richmond Ward,0
Woodhouse Ward,1
Hillsborough Ward,0
Beauchief & Greenhill Ward,0
Manor Castle Ward,0
Stocksbridge & Upper Don Ward,1
Mosborough Ward,0
Darnall Ward,0
Beighton Ward,0
Dore & Totley Ward,0
Southey Ward,0
Graves Park Ward,0
Burngreave Ward,1
Stannington Ward,0
Birley Ward,0
West Ecclesfield Ward,1
East Ecclesfield Ward,0
Shiregreen & Brightside Ward,0
Nether Edge & Sharrow Ward,0
Broomhill & Sharrow Vale Ward,0
Crookes & Crosspool Ward,0
Firth Park Ward,0
Walkley Ward,0
Ecclesall Ward,0
Fulwood Ward,0
Park & Arbourthorne Ward,0
Gleadless Valley Ward,1
City Ward,0
