objectid,twenty_name,twenty_desc,humps,status
221,N02,Spink Hall,No,Built
233,NE24,Parson Cross North,Yes,Built
234,N23,Parson Cross North,Yes,Built
235,N22,Ecclesfield,Yes,Built
236,N10,Deerlands,,Built
238,NE05,Parson Cross West,No,Built
239,NE09,Longley,No,Built
240,NE08,Southey Green,No,Built
242,NE03,Fox Hill,,Built
243,C01,Winn Gardens,Yes,Built
250,C30,Wisewood,Yes,Built
252,C31,Lower Loxley East,Yes,Built
254,NE10,Shirecliffe,No,Built
255,NE10,Shirecliffe,No,Built
260,NE23,Fir Vale North,Yes,Built
261,NE20,Firth Park South,Yes,Built
262,NE06,Firth Park,,Built
263,NE21,Firth Park East,Yes,Built
264,NE18,Shiregreen,Yes,Built
265,NE18,Shiregreen,Yes,Built
266,NE07,Wincobank,,Built
267,NE07,Wincobank,,Built
268,NE07,Wincobank,,Built
269,NE22,Brightside,Yes,Built
271,E29,Greenland North East,,Built
272,E02,Darnall,No,Built
273,E02,Darnall,No,Built
278,E10,Park Academy,,Built
279,E28,Fairleigh North,Yes,Built
282,E30,Handsworth North,Yes,Built
289,E27,Cardwell,,Built
290,SE04,Woodhouse,,Built
291,SE04,Woodhouse,,Built
292,SE04,Woodhouse,,Built
293,SE04,Woodhouse,,Built
294,SE04,Woodhouse,,Built
297,SE04,Woodhouse,,Built
299,S08,Gleadless Valley,,Built
300,E16,Hurlfield,,Built
301,S08,Gleadless Valley,,Built
302,S08,Gleadless Valley,,Built
303,SE20,Woodhouse Lane,,Built
307,SE17,Oxclose Park,Yes,Built
311,SE18,New School Road,Yes,Built
314,SE09,Hackenthorpe,,Built
315,SE09,Hackenthorpe,,Built
316,SE09,Hackenthorpe,,Built
317,SE09,Hackenthorpe,,Built
318,SE19,Newstead,,Built
319,SE09,Hackenthorpe,,Built
324,E19,Stradbroke,,Built
327,E15,Woodthorpe,No,Built
332,SE07,Charnock,,Built
339,S16,Lowedges,,Built
340,S18,Little Norton,,Built
341,S14,"M'head, G'hill, Beauchief",,Built
342,S14,"M'head, G'hill, Beauchief",,Built
343,S14,"M'head, G'hill, Beauchief",,Built
344,S14,"M'head, G'hill, Beauchief",,Built
351,SW13,Whirlow,,Built
352,SW13,Whirlow,,Built
354,S19,Hutcliffe Wood West,Yes,Built
362,S05,Heeley and Meersbrook,,Built
363,C20,London Road,,Built
364,S21,Nether Edge,Yes,Built
365,S08,Gleadless Valley,,Built
367,E20,Kenninghall,,Built
368,C20,London Road,,Built
370,E21,Arbourthorne,Yes,Built
371,E22,Park Grange Mount,Yes,Built
374,E23,Beeches Bank,Yes,Built
380,C20,London Road,,Built
381,C20,London Road,,Built
386,S01,Sharrow Vale,,Built
388,C29,Broomhall,Yes,Built
390,C25,Summerfield,Yes,Built
391,C26,Sharrow,No,Built
395,SW11,Ecclesall,,Built
397,C27,Broomhill,Yes,Built
405,SW02,"Steel Bank, Crookesmoor",,Built
410,N16,Stannington,,Built
411,N16,Stannington,,Built
412,N16,Stannington,,Built
413,N15,Stannington Top,,Built
414,N15,Stannington Top,,Built
415,N15,Stannington Top,,Built
418,C24,Upperthorpe,,Built
420,NE16,Andover,,Built
421,NE17,Pitsmoor,,Built
422,E25,Wybourn,Yes,Built
425,E26,Tinsley,Yes,Built
426,N20,Warren Lane,,Built
429,N21,High Green (North),,Built
434,CC4,City Centre Phase 4,,Built
435,CC2,City Centre Phase 2,,Built
436,CC2,City Centre Phase 2,,Built
437,C20,London Road,Yes,Built
438,CC2,City Centre Phase 2,,Built
439,CC2,City Centre Phase 2,,Built
440,CC3,City Centre Phase 3,,Built
441,CC3,City Centre Phase 3,,Built
442,CC3,City Centre Phase 3,,Built
443,CC3,City Centre Phase 3,,Built
444,CC1,City Centre Phase 1,,Built
445,CC1,City Centre Phase 1,,Built
446,CC2,City Centre Phase 2,,Built
447,CC4,City Centre Phase 4,,Built
448,SW11,Ecclesall,,Built
449,SW10,Greystones,,Built
450,SW11,Ecclesall,,Built
