objectid,policy,title,ruleid,layername,pdf_link,info_1,info_2,st_areashape,st_perimetershape
1,PGE4,Wheata Woods Complex,1,,,,,546862.283893729,8648.95557078304
2,PGE4,Ecclesall Woods,1,,,,,1352951.25273341,12350.9560573958
3,PGE4,Wooley Woods,1,,,,,352332.555469693,5153.17540441081
4,PGE4,Roe Woods & Crab Tree Pond,1,,,,,154812.924799222,3375.60852473692
5,PGE4,Bowden Howsteads/Spring Wood & Carbrook Ravine,1,,,,,375448.697866539,7724.41503473009
6,PGE4,Shirebrook Valley,1,,,,,1261773.81670035,14833.8502972473
7,PGE4,Woodhouse Washlands,1,,,,,151752.568032669,2614.61597706464
8,PGE4,Gleadless Valley,1,,,,,1003795.63435876,16996.9025474609
9,PGE4,Wharncliffe Heath,1,,,,,369411.480867818,2750.76564533594
10,PGE4,Loxley & Wadsley Common,1,,,,,369648.791296506,4711.28066843428
11,PGE4,Fox Hagg Nature Reserve (Rivelin Valley),1,,,,,82252.3480281012,1683.4798534066
12,PGE4,Sunny Bank,1,,,,,6946.38374585906,440.704386079584
13,PGE4,Salmon Pastures,1,,,,,5767.49548361467,371.105506235964
14,PGE4,General Cemetery,1,,,,,60418.0450542939,1203.55216613419
15,PGE4,Town End Common,1,,,,,85884.2066287413,1748.32165199936
16,PGE4,Porter Valley Woodlands Complex,1,,,,,882208.564298622,17639.3468636634
17,,Sharrow School,1,,,,,882.578907932703,254.58437667575
19,,,,,,,,364135.19911454,2438.75821165034
